38506-0001-Data
FIPS,YEAR,REG_VOTERS (use 2020 ONLY),"REG_VOTER_TURNOUT_PCT (Average 12, 16, 20 result for EACH county)",,,,,,,,,,,,,,
5113,2016,12469,0.667415201664,,,,,,,,,,,,,,
5113,2020,12130,0.695630669594,,,,,,,,,,,,,,
5115,2012,33348,0.616798579693,,,,,,,,,,,,,,
5115,2016,33765,0.674396574497,,,,,,,,,,,,,,
5115,2020,35220,0.695769429207,,,,,,,,,,,,,,
5117,2012,4465,0.710414350033,,,,,,,,,,,,,,
5117,2016,4843,0.717323958874,,,,,,,,,,,,,,
5117,2020,4981,0.703272461891,,,,,,,,,,,,,,
5119,2012,232761,0.689411044121,,,,,,,,,,,,,,
5119,2016,246876,0.653647959232,,,,,,,,,,,,,,
5119,2020,256192,0.666960716248,,,,,,,,,,,,,,
5121,2012,9804,0.620563030243,,,,,,,,,,,,,,
5121,2016,10332,0.357046067715,,,,,,,,,,,,,,
5121,2020,10623,0.643226981163,,,,,,,,,,,,,,
5123,2012,13575,0.595727443695,,,,,,,,,,,,,,
5123,2016,13966,0,,,,,,,,,,,,,,
5123,2020,11609,0.614695489407,,,,,,,,,,,,,,
5125,2012,66398,0.713229298592,,,,,,,,,,,,,,
5125,2016,75050,0.699506998062,,,,,,,,,,,,,,
5125,2020,78265,0.730658650398,,,,,,,,,,,,,,
5127,2012,6158,0.598570942879,,,,,,,,,,,,,,
5127,2016,5310,0.579284369946,,,,,,,,,,,,,,
5127,2020,5169,0.6852388978,,,,,,,,,,,,,,
5129,2012,5397,0.702797830105,,,,,,,,,,,,,,
5129,2016,5587,0.678718447685,,,,,,,,,,,,,,
5129,2020,5220,0,,,,,,,,,,,,,,
5131,2012,68102,0.643285095692,,,,,,,,,,,,,,
5131,2016,74228,0.605458855629,,,,,,,,,,,,,,
5131,2020,73401,0.644282758236,,,,,,,,,,,,,,
5133,2012,6398,0.68505781889,,,,,,,,,,,,,,
5133,2016,6684,0.687612235546,,,,,,,,,,,,,,
5133,2020,7466,0.700642943382,,,,,,,,,,,,,,
5135,2012,11095,0.669310510159,,,,,,,,,,,,,,
5135,2016,11161,0.65648239851,,,,,,,,,,,,,,
5135,2020,11377,0.668014407158,,,,,,,,,,,,,,
5137,2012,7447,0.726869881153,,,,,,,,,,,,,,
5137,2016,7992,0.712587594986,,,,,,,,,,,,,,
