County,State,Tvdma,Latitude (generated),Longitude (generated)
WASHINGTON,OKLAHOMA," Tulsa, OK - KS DMA",36.7061,-95.9052
WAGONER,OKLAHOMA," Tulsa, OK - KS DMA",35.9637,-95.5202
TULSA,OKLAHOMA," Tulsa, OK - KS DMA",36.1403,-96.0299
ROGERS,OKLAHOMA," Tulsa, OK - KS DMA",36.3402,-95.6238
PITTSBURG,OKLAHOMA," Tulsa, OK - KS DMA",34.9475,-95.7985
PAWNEE,OKLAHOMA," Tulsa, OK - KS DMA",36.3612,-96.7798
OSAGE,OKLAHOMA," Tulsa, OK - KS DMA",36.5814,-96.4481
OKMULGEE,OKLAHOMA," Tulsa, OK - KS DMA",35.6142,-95.9529
OKFUSKEE,OKLAHOMA," Tulsa, OK - KS DMA",35.4649,-96.2645
NOWATA,OKLAHOMA," Tulsa, OK - KS DMA",36.7972,-95.6211
MUSKOGEE,OKLAHOMA," Tulsa, OK - KS DMA",35.5593,-95.4202
MCINTOSH,OKLAHOMA," Tulsa, OK - KS DMA",35.3474,-95.6632
MAYES,OKLAHOMA," Tulsa, OK - KS DMA",36.2892,-95.2206
LATIMER,OKLAHOMA," Tulsa, OK - KS DMA",34.8722,-95.2527
HASKELL,OKLAHOMA," Tulsa, OK - KS DMA",35.2553,-95.1327
DELAWARE,OKLAHOMA," Tulsa, OK - KS DMA",36.4176,-94.8052
CREEK,OKLAHOMA," Tulsa, OK - KS DMA",35.9083,-96.3245
CRAIG,OKLAHOMA," Tulsa, OK - KS DMA",36.7555,-95.2156
CHEROKEE,OKLAHOMA," Tulsa, OK - KS DMA",35.9006,-95.0432
ADAIR,OKLAHOMA," Tulsa, OK - KS DMA",35.9006,-94.6623
MONTGOMERY,KANSAS," Tulsa, OK - KS DMA",37.1913,-95.7428
CHAUTAUQUA,KANSAS," Tulsa, OK - KS DMA",37.1503,-96.2448
SANTA CRUZ,ARIZONA," Tucson (Nogales), AZ DMA",31.5332,-110.812
PIMA,ARIZONA," Tucson (Nogales), AZ DMA",31.9681,-111.7806
COCHISE,ARIZONA," Tucson (Nogales), AZ DMA",31.8901,-109.7497
WISE,VIRGINIA," Tri - Cities, TN - VA - KY DMA",37.0011,-82.6307
